Sentiments,Tweets
Positive,Sly G @Borderlands haha. The mission is “ The High Demon District in the Dark ”. the Mines of Moria. Nice.
Positive,Sly @Borderlands haha. Great mission “The Key in the Jar. Mines Del Moria. Nice.
Positive,Who runs borderlands 3 on xbox that game is so Dope I'm tryna run squads mann
Positive,Who runs Borderlands 3 on xbox that game is so dope I'm tryna run squad man
Positive,Who runs Borderlands 3 on xbox that game so dope I trina run commands.
Positive,Who runs borderlands 3 on xbox this shit is so Dope I'm tryna run squads mann
Positive,Who never runs borderlands 3 on xbox that video game This is going so Dope I'm tryna run squads mann
Positive,Who buy borderlands for 2 xbox that game is so Dope I'm tryna run squads mann
Positive,Actually. I think borderlands 3 might be my 5th fave. But it wouldn't be stand alone.... But god do I love and enjoy bl3!!!
Positive,"Actually. I think Borderlands 3 could be my fifth favorite, but it wouldn't be alone.... But God, I love bl3 and enjoy it!!!"
Positive,Actually. I think borderlands 3 might be my 5th fave. But it would not be stand alone.... but god do I love and enjoy bl3!!!
Positive,Actually. I think borderlands 3 might be a 5th fave. But it wouldn't be stand alone.... But god do I EVER so enjoy bl3!!!
Positive,Actually. I rather think 13 borderlands 3 might be my 5th fave. 3 But then it certainly wouldn't be stand alone.... But still god do I really love and enjoy bl3!!!
Positive,Actually. I think borderlands 3 might be still 5th fave. Though it wouldn't be stand top.... But god do I still in enjoy bl3!!!
Positive,"So I'm probably going to log off social media for the day to buckle down and take care of all my online class work for the week. I don't want to have any work to do before Borderlands 3 hits steam. So I'll be back, when I'm done with all that junk! . "
Positive,"So I'll probably log off from social media for the day to buckle up and do all my online classwork for the week. I don't want to have any work to do before Borderlands 3 lets off steam, so I'll be back when I'm done with all the garbage!."
Positive,So I'll probably get off social media for a day to buckle up and take care of all my online activities during the week. I don't want to have any work before Borderlands 3 gets steamed up. So I'll be back when I'm done with all this rubbish!.
Positive,"So I'm really going to log off social net for the day to buckle down and take inventory of all my online class assignments during the week. I don't want to have any work to do before Borderlands 3 hits steam. So I'll be back, when I'm finished with all that junk!."
Positive,"So I'm now probably going to completely log off social media for the day to buckle down and then take care of all even my normal online class work for during the week. Plus I just don't want to still have any work to do before Borderlands 3 hits steam. So I'll be back, when ever I'm done with all that junk!."
Positive,"So I'm probably going to log down social media for the day & buckle down before take off of all my video class work for the week. I don't want to have any work to do before my 3 hits steam. Anyway I'll be back, when I'm satisfied with my real junk!."
Positive,Friendly reminder that Borderlands 3's soundtrack is an absolute banger and this song is particular is probably my favorite gag in the entire game. . youtu.be/nFwAmB-tluI
Positive,Friendly reminder that the soundtrack of Borderlands 3 is an absolute banger and this song is maybe my favorite gag in the whole game.. youtu.be / nFwAmB-tluI
Positive,A friendly reminder that the track Borderlands 3 is an absolute banger and this song is special is probably my favorite gag of the whole game... youtu.be / nFwAmB-tluI
Positive,Friendly reminder that Borderlands 3's soundtrack is an absolute classic and this song is particular is probably my favorite theme of the main game.. youtu.be/nFwAmB-tluI
Positive,Friendly reminder is that Borderlands Part 3's soundtrack is an absolute banger and this song is quite particular and is probably my only favorite movie gag in the fucking entire game.. youtu. be / see nFwAmB - html tluI
Positive,Friendly Dog<unk> all 3's audio is an absolute mess and any song is by is probably my favorite gag in the entire game.. youtu.be/nFwAmB-tluI
Positive,Beat DLC2 main story line. Loved it! Thank you!. @ DuvalMagic @ Borderlands. @ GearboxOfficial
Positive,Beat DLC2 main story line. Loved it! Thank you!. @ DuvalMagic @ Borderlands. @ GearboxOfficial
Positive,Beat DLC2 The story line.  Loved it!  Thank you!. @DuvalMagic @Borderlands | @GearboxOfficial
Positive,Heart Beat DLC2 main story first line. Loved it! I Thank you!. 3 @DuvalMagic 2 @Borderlands. @GearboxOfficial
Positive,a DLC2 short story item. Loved it! Thank F!. @DuvalMagic @Borderlands. @GearboxOfficial
Positive,me: omg I miss Rhys soooo much I would do anything to see him. . borderlands 3: . . me: pic.twitter.com/c3wvkyrBge
Positive,"me: omg I miss Rhys soooo much, I would do anything to see him.. borderlands 3:.. me: pic.twitter.com / c3wvkyrBge"
Positive,me: omg I miss Rhys soooo much I would do anything to see him... borderlands 3:. me: pic.facebook.com / c3wvkyrBge
Positive,me: omg I miss Rhys soooo much I would do anything to see him. . borderlands 3: . . me: pic.twitter.com/c3wvkyrBge
Positive,5 me: omg I miss Rhys soooo much I would do anything to see him. . borderlands 3: . . me: pic.twitter.com/c3wvkyrBge
Positive,Watching You Kalloori Perfect Situation Mystic River Tampa Prescott Dak Johnson Marcus Lego Harry Potter: Years 5-7 Mille Lacs Leonard Kawhi Ivan Rakitic Chilton Dan Glazer Jeff Carter Julio Garcia Algemarin L Borderlands 2 I'll Always Love You. . loveok.store/best-online-sh… https://t.co/AP6H8thDzT
Positive,Lego Harry Potter: Years 5-7 Mille Lacs Leonard Kawhi Ivan Rakitic Chilton Dan Glazer Jeff Carter Julio Garcia Algemarin L Borderlands 2 I'll Always Love You... loveok.store / best-online-sh... https: / / t.co / AP6H8thDzT
Positive,Watching You Khori Perfect Mystic River Tampa Prescott Dak Johnson Marcus Lego Harry Potter: Years 5-7 Mille Lacs Leonard Kawhi Ivan Rakitic Chilton Dan Haser Jeff Carter Julio Garcia Algemarin L Borderlands 2 I'll Always Love You... loveok.store / best-online-sh...
Positive,Watching You Kalloori Perfect Situation Mystic River Tampa Prescott Xavier Johnson Marcus Spears Harry Potter: Years 5-7 Mille Lacs Leonard Kawhi Ivan Rakitic Thunder Jay Glazer Jeff Carter Julio Garcia Algemarin L Borderlands 2 Just Even Love You. Where loveok.store/best-online-sh… https://t.co/AP6H8thDzT]
Positive,Watching You Jimmy Kalloori Perfect Situation Mystic River Tampa Prescott Dak Johnson Marcus Lego Harry Potter : Years 5 - 7 Luc Mille 3 Lacs Leonard Kawhi Ivan Rakitic Chilton Dan Glazer III Jeff Carter Julio Luis Garcia Algemarin L Borderlands 2... I'll... Always Love You.. The loveok. store / major best - of online - sh … https://t.co/AP6H8thDzT ]
Positive,Watching You Kalloori Perfect Rainbow Mystic River Tampa Prescott Dak Johnson Avon Lego Harry Phillips: Years 14-7 Mille Lacs Leonard Fisher Ivan Rakitic Chilton Silver Glazer Jeff Carter Julio Garcia Algemarin 5 Borderlands 2 How'll Always Have If.. loveok.store/best-online-sh... https://t.co/AP6H8thDzT]
Positive,Enjoying my Borderlands 3 Tubbz out in the sun  @NumskullDesigns  
Positive,Enjoying my Borderlands 3 Tubbz in the sun @ NumskullDesigns
Positive,Enjoying my Borderlands 3 Tubbz in the sun @ NumskDesigns
Positive,Enjoying my Borderlands 3 Tubbz<unk> in the sun  @NumskullDesigns
Positive,Enjoying my Winter Borderlands at 3 Tubbz out in the golden sun @NumskullDesigns
Positive,to the Borderlands 3 Tubbz out in the sun @NumskullDesigns
Negative,@Borderlands. Can we please get a big hot fix. I did a whole factory reset and a system wipe. But everytime i play borderlands to farm it crashes
Negative,"@ Borderlands. Can we get a big fix please? I've reset an entire factory and deleted a system, but every time I play Borderlands to build a farm it crashes."
Negative,@ Borderlands. Can we please get a big hot fix. I did a whole factory reset and a system to wipe out. But whenever i play borderlands to farm it crashes
Negative,@Borderlands. could we please get a big hot fix. I gave an whole factory reset and a system wipe. But everytime i play borderlands to farm it crashes
Negative,@Borderlands. Can we just please get him a big hot fix. I did just a routine whole factory reset report and a system wipe. But not everytime i gotta play borderlands to farm it crashes
Negative,@Borderlands. Can we please have a big hot fix. I did a basic factory check and a system refresh. But everytime i play borderlands to farm system crashes
Negative,@Borderlands echo cast doesnt work for me even though it says it is on. it doesnt show anything on twitch about it being on except for when you refresh it says its loading it.
Negative,"@ Borderlands echo cast doesn't work for me, though it says it is on. it doesn't point anything at twitching about that it's turned on, except when you update it, it says it's loading."
Negative,@ Borderlands echo cast doesn't work for me even though it says it's on.
Negative,@Borderlands echo cast doesnt work for me even though it says whatever is on. it doesnt show anything on twitch about something being on except for when you refresh it says its loading correctly.
Negative,@Borderlands echo cast back doesnt work for me even though it says it is on. it doesnt actually show anything on twitch about touching it or being on paper except not for when you write refresh it says something its loading it.
Negative,@Borderlands echo cast doesnt work for me even though it says it is on. it doesnt show normally on twitch of it being open except if when you hit which says its loading it.
Positive,Also bought Borderlands on the switch!! love that series and cant wait to play on the go!
Positive,Also purchased Borderlands on the switch!! Love this series and can't wait to play along the way!
Positive,Also bought Borderlands on the switch!! love this series and can't wait to play on the go!
Positive,Also bought Borderlands on the switch!! love that series and cant wait to play on to go!
Positive,And Also bought Borderlands on the switch!! We love it that series and cant wait to play on the second go!
Positive,Also bought Borderlands but the switch!! love that series and cant look to play on the next!
Negative,@Borderlands I can't play borderlands 3 on my Xbox without it crashing can you fix this pls
Negative,@ Borderlands I can't play Borderlands 3 on my Xbox without it crashing.
Negative,@ Borderlands I can't play borderlands 3 on my Xbox without it crashing can you fix this pls
Negative,@Borderlands<unk> can't play borderlands 3 on my tablet without it crashing can you fix this pls
Negative,A @Borderlands I can't play borderlands 3 on my Xbox without it completely crashing so can you maybe fix this pls
Negative,man I cannot't play borderlands 3 on our Xbox without it crashing can you fix this pls
Negative,My dumbass was like “what borderlands mod is this” because that mf looks like claptrap
Negative,"My dumbass was like ""What borderlands mod is this,"" because this MF looks like a rattlesnake."
Negative,"My dumbass was like ""what borderlands mod is this"" because that mf looks like claptrap"
Negative,My dumbass was like “what fun mod is this” because every mf looks like claptrap
Negative,... My dumbass was like “ asking what borderlands mod is at this time ” because that mf looks like claptrap
Negative,My dumbass was like the borderlands mod is this” because that mf looks to being
Positive,"So last night.... Borderlands 3 first playthrough complete. Every level in Peggle 2 now unlocked for party night. . But forget all that, I wanna say a huge thank you to my community for all the support they have shown me, it’s insane! And last night was unbelievable so I want (1/2)"
Positive,"So last night.... Borderlands 3 first playthrough. Every level in Peggle 2 is now unlocked for the party.. But forget all that, I want to thank my community for all the support they showed me, it's insane! And last night was incredible, so I want (1 / 2)"
Positive,"So last night.... The first game of Borderlands 3 is over. Every level in Peggle 2 is now unlocked for the party night... But forget about it, I want to say a huge thank you to my community for all the support they gave me, it's just amazing!"
Positive,"So last night.... Borderlands 3 first playthrough complete. Every level in Peggle has now unlocked for tomorrow night.. But forget all that, I wanna say a huge thank yo to my friends after all the support they have shown me, it’s insane! And last night was unbelievable so I think (1/2)"
Positive,"So last night.... after Borderlands Chapter 3 first Xbox playthrough complete. Every level found in Peggle 2 now unlocked for party night.. But maybe forget all that, because I wanna say a big huge thank you to support my community for all the emotional support they have shown me, it ’ s absolutely insane! And last night was unbelievable so I want ( 1 / 2 )"
Positive,"So last evening.... complete 3 game playthrough complete. Every level in Peggle 2 now unlocked again tomorrow night.. and forget all this, I wanna say a huge thank you to my community in such the support they have shown me, it’s insane! And last night was full so I want (1/2)"
Negative,I went to bed at 4am. 5 hours before that at 9pm i was farming Graveward. It is now almost 4pm and i went to farm Graveward again and on my first kill i tried to loot the vault but it was already looted! @Borderlands @Ki11ersix what is wrong with my game it is the broken.
Negative,I went to bed at 4am. 5 hours earlier at 9pm I was at Graveward Farm. It's almost 4pm now and I went back to Graveward Farm and on my first kill I tried to loot the safe but it was already looted! @ Borderlands @ Ki11ersix What's wrong with my game is the broken one.
Negative,I went to bed at 4 am. 5 hours before that at 9 pm i was farming Graveward. It is now almost 4 pm and i went to farm Graveward again and on my first kill i tried to lot the vault but it was already rooted! @ Borderlands @ Ki11ersix what is wrong with my game it is the broken.
Negative,I went to bed at 4am. 5 days before that at night m was farming Graveward. It is now almost 4pm and i went to farm Graveward again and on my new kill i tried to loot the vault but it was already full! @Borderlands @Ki11ersix what is wrong with my game it we the broken.
Negative,I went to bed at 4am. 5 hours before that at 9pm i was farming Graveward. It is now almost 4pm and i have went to farm near Graveward again and decided on scoring my first kill i tried not to loot the vault home but it somehow was not already looted! 6 @Borderlands @Ki11ersix what is wrong matters with my game it is the broken.
Negative,I went to bed at 12. 5 hours before bed at 9pm i were farming Graveward. It came still nearly 4pm and i tried to farm Graveward again and on my third kill i tried to loot the vault that it was already looted! @Borderlands @Ki11ersix what really wrong with my game it is the broken.
Positive,".  LIVE NOW!. . I feel like I have not streamed in forever probably because I have, sorry about that, more Borderlands for a bit with @eyesofness . . . Borderlands. .  twitch.tv/niam https://t.co/t7RJPcJ7DT"
Positive,". LIVE NOW!.. I feel like I haven't poured in forever, probably because, sorry, I have more Borderlands for a bit with @ eyesofness... Borderlands.. twitch.tv / niam https: / / t.co / t7RJPcJ7DT"
Positive,". LIVE NOW!.. I feel like I have not streamed in vehicle problem because I have, sorry about that, more Borderlands for a bit with @ eyesofness.... Borderlands..."
Positive,".  LIVE NOW!. . I feel like I have not streamed in forever probably because I have, sorry about that, more Borderlands for a bit with RhandlerR . . . Borderlands. .  twitch.tv/niam RhttpR]"
Positive,"the .  LIVE NOW!. . I feel like I have not streamed in forever probably because I have, sorry about that, more Borderlands for a bit with RhandlerR . . . Borderlands. .  twitch.tv/niam RhttpR]"
Positive,@ITalkFortnite Just bought Borderlands 3 from @EpicGames using your creator code! Can’t wait to use the skin!
Positive,@ ITalkFortnite Just bought Borderlands 3 from @ EpicGames with your creator code! I can't wait to use the skin!
Positive,@ Ilennite Just bought Borderlands 3 from @ EpicGames using my creator code!
Positive,@ITalkFortnite Just bought Borderlands 3 from @EpicGames using your creator code! cant wait to see the skin!
Positive,@ITalkFortnite Just bought Borderlands 3 from my @EpicGames using your creator code code! Can ’ on t quite wait to help use the skin!
Positive,@ITalkFortnite actually bought Season 3 from YOU using your creator code! Can’t wait to own the skin!
Positive,I love u guys
Positive,I love u guys.
Positive,I love u guys
Positive,I love u bro
Positive,21 I love u guys
Positive,<unk> love u guys
Negative,Borderlands 3 Update Delayed Due To Anti-Racism Protests pic.twitter.com/dDq8WeXJlS
Negative,Borderlands 3 update delayed due to anti-racism protests pic.twitter.com / dDq8WeXJlS
Negative,Borderlands 3: Delayed Due To Anti-Racism Protests pic.wikipedia.org / dDq8WeXJlS
Negative,@Borderlands I have some concerns with the new update. On console(Ps4 not sure about other) while playing the gaming audio and visuals start to constantly freeze and break making it hard to continue frame rates drop drastically. Should I be worried.
Negative,"@ Borderlands I have some concerns with the new update. On the console (ps4 not sure about others) while playing the gaming audio and visuals start to freeze constantly and break, which makes it difficult to sink the frame rates drastically further. I should be worried."
Negative,"@ Borderlands I have some misgivings about the new update. On the console (Ps4 is not sure otherwise) during the game audio and video are constantly hovering and breaking down, making it difficult to continue the sharp drop in frame rate."
Negative,@Borderlands I have some concerns with the new update. On console(Ps4 n sure whats it) while playing the gaming experience and visuals start to constantly freeze and break making it hard to continue frame rates drop drastically. Now I be worried.
Negative,@Borderlands I also have some... concerns with scheduling the new update. On console ( Ps4 in not sure about other ) while playing the gaming audio effects and visuals start to constantly freeze and heads break making it hard to continue and frame rates drop drastically. The Should if I go be worried.
Negative,@Borderlands I have some concerns with the new update. On console(Ps4 not sure about other) while after the gaming software and visuals start to really crash and break with very hard to continue frame rates drop drastically. Should or be worried.
Positive,Borderlands science is actually really enjoyable
Positive,Borderland science is really fun
Positive,Frontier Science Is Really Attractive
Positive,Borderlands science is actually somewhat enjoyable
Positive,Borderlands science is actually getting really enjoyable
Positive,Borderlands science is actually still enjoyable
Negative,borderlands 3 sucks why are yall giving money to randy pitchford? go borrow the other games from a friend. they're actually good
Negative,borderlands 3 sucks why give yall money to randy pitchford? go borrow the other games from a friend. they are actually good
Negative,borderlands 3 sucks why are yall giving money to random pitchford? go borrow the other games from a friend. they're actually good
Negative,borderlands 3 sucks why are yall giving money to randy pitchford? go borrow the other games from a cd. they're actually great
Negative,borderlands 3 sucks why are yall boy giving money to that randy pitchford? Just go borrow the same other games from a mutual friend. they're really actually good
Negative,borderlands now open or are yall giving money on randy pitchford? go borrow the other games from a friend. they're actually good
Positive,I should get up & feed my dogs & such that way when mac gets outta Dnd we can just do a watch together... I wanna play more borderlands but these cramps are bad today
Positive,I should get up & feed my dogs & stuff when the mac is out and we can just make a watch together... I want to play more Borderlands but these cramps are bad today
Positive,I have to get up and feed my dogs and so when the poppy gets angry we can just do a watch together... I want to play more in the border areas but these crazy ones today are bad
Positive,I just get up & feed my dogs & such that s when mac gets outta town we can just do a watch together... I wanna play more borderlands but still cramps are bad today
Positive,Maybe I should get up & feed off my dogs & such that the way when mac gets up outta Dnd Al we can just do a watch together... I wanna play football more over borderlands but these cramps all are bad today
Positive,I should get up & feed my dogs & all that way when mac are outta school we can also do some watch together... I wanna go more borderlands but these cramps are bad today
Negative,this is genuinely all you left me with? @GearboxOfficial @Borderlands pic.twitter.com/X4oKeH4TMH
Negative,That's really all you left me? @ GearboxOfficial @ Borderlands pic.twitter.com / X4oKeH4TMH
Negative,Is that really all you left me? @ GearboxOfficial @ Borderlands pic.fm / X4oKeH4TMH
Negative,this is genuinely all you left me with? RhandlerR RhandlerR pic.twitter.com/X4oKeH4TMH
Negative,and this is genuinely all you left me with? RhandlerR RhandlerR pic.twitter.com/X4oKeH4TMH
Negative,Holy shit borderlands 3 is ass.
Negative,Holy shit Borderlands 3 is ass.
Negative,Holy shit borderlands 3 is ass.
Negative,Holy shit borderlands 3 st ass.
Negative,Holy shit borderlands 3 is your ass.
Negative,Holy shit borderlands 3 my ass.
Positive,Live with some super interesting *LOL* boss farms in Borderlands 3!. twitch.tv/prismeyes33
Positive,Live with some super interesting * LOL * boss farms in Borderlands 3!. twitch.tv / prismeyes33
Positive,Live with some super interesting * LOL * boss farms in Borderlands 3!.
Positive,Live with some super interesting *LOL* boss farms in Borderlands 3!. twitch.tv/prismeyes33
Positive,via Live with some super interesting *LOL* boss farms in Borderlands 3!. twitch.tv/prismeyes33
Positive,Atleast I have Borderlands to cheer me up :(
Positive,At least I have Borderlands to cheer me up: (
Positive,At least I have Border Guards to cheer me on: (
Positive,Atleast I have Borderlands to match me up :(
Positive,The Atleast I have Borderlands to come cheer me up : (
Positive,Atleast I have Borderlands can cheer everything up :(
Negative,"Borderlands 3 trash but also lowkey lit, just big sads it's easy as"
Negative,"Borderlands 3 Trash but also Lowkey illuminated, only big Sads it is easy as"
Negative,"Borderlands 3 thrash but also quietly lit, just large gardens it's easy as"
Negative,"Borderlands 3 trash but also lowkey lit, just big and it's easy as"
Negative,"... Borderlands of 3 trash but also real lowkey lit, just big sads it's easy as"
Negative,"Borderlands 3 trash but really lowkey lit, just big and it's easy as"
Positive,"Fantastic day today.  Congratulations to @GearboxOfficial @2K and @Borderlands.  Story makes you feel all the emotions, its the best looking DLC by a mile to boot!. . Thank you for letting me join the family!"
Positive,"Today is a fantastic day. Congratulations to @ GearboxOfficial @ 2K and @ Borderlands. History makes you feel all the emotions, plus it's the best looking DLC!.. Thank you for letting me join my family!"
Positive,Congratulations @ GearboxOfficial @ 2K and @ Borderlands.
Positive,"Fantastic day today.  Congratulations to @GearboxOfficial @2K and @Borderlands.  Story makes you feel all the better, its very awesome looking DLC by a mile to boot!.. Thank you for letting me join ur family!"
Positive,"Fantastic day today. 11 Congratulations to President @GearboxOfficial both @2K and @Borderlands. Your Story makes you one feel for all the emotions, its the third best looking DLC by a mile miles to go boot!.. Thank you for letting me join the Royal family!"
Positive,"Fantastic review today. Congratulations to brothers Jason and @GearboxOfficial. Story way you feel all the emotions, its the best looking thing by a mile of boot!.. great you guys letting me join the family!"
Positive,Y’all stick with Mario Kart and Borderlands. Some shit where you don’t have to compete against someone else. Those are the main motherfuckers hating on me. People who play GTA or The Last Of Us.
Positive,Y'all stay with Mario Kart and Borderlands. Some shit where you don't have to compete against someone else. Those are the main motherfuckers who hate me. People who play GTA or The Last Of Us.
Positive,Y'all stick with Mario Kart and Borderlands. Some shit where you do not have to compete against someone else. Those are the main motherfuckers hatting on me. People who play GTA or The Last Of Us.
Positive,Y’all stick with Sky Kart and Borderlands. Some shit where you don’t have to compete against someone blind. There are the main motherfuckers hating on me. People that play GTA or The Last Of Us.
Positive,Some Y ’ all just stick with a Mario Kart and Borderlands. Some shit where you don ’ t have to compete against someone else. Those are the two main motherfuckers off hating and on watching me. People who just play GTA or The Last Two Of Us.
Positive,Y’all stick with Mario Kart and Borderlands. Play shit where you only have or compete off someone else. Those are the main motherfuckers hating on games. People really hate GTA or The Last Of Us.
Positive,HOW HAS IT BEEN A WHOLE YEAR?. Last year I had the legit pleasure of working with @2K_ANZ (and the don @Pez_Bro) on this custom @Borderlands themed @PlayStationAU 4.. . Oh what a time. Would love to work with the brand again for sureee! Still one of my favourite jobs.. . @poscauk pic.twitter.com/lN9snb7jSn
Positive,HOW HAPPENED IT ALL YEAR?. Last year I had the legitimate pleasure of working with @ 2K _ ANZ (and the don @ Pez _ Bro) on this custom @ Borderlands themed @ PlayStationAU 4... Oh what a time. Would love to work with the brand again to make sure! Still one of my favorite jobs... @ poscauk pic.twitter.com / lN9snb7jSn
Positive,Last year I had the legitimate pleasure of working with @ 2K _ ANZ (and don @ Pez _ Bro) on this custom @ Borderlands theme @ PlayStationAU 4... Oh what a time.
Positive,HOW HAS IT BEEN A WHOLE YEAR?. Last year I had the legit pleasure of working with RhandlerR (and the don RhandlerR on this custom RhandlerR themed RhandlerR 4.. . Oh what a time. Would love to work with the brand again for sureee! Still one of my favourite jobs.. . RhandlerR pic.twitter.com/lN9snb7jSn
Positive,N HOW HAS IT BEEN A WHOLE YEAR?. Last year I had the legit pleasure of working with RhandlerR (and the don RhandlerR on this custom RhandlerR themed RhandlerR 4.. . Oh what a time. Would love to work with the brand again for sureee! Still one of my favourite jobs.. . RhandlerR pic.twitter.com/lN9snb7jSn
Positive,Mayhem and Murder Aplenty! It's time for a  . . twitch.tv/bencompetence
Positive,Chaos and murder galore! It's time for a.. twitch.tv / bencompetence
Positive,Mayhem and the Murder of Apollo! It's time for... tch.tv / benefiction
Positive,Mayhem and Murder Aplenty! It's time for a  . . twitch.tv/bencompetence
Positive,as Mayhem and Murder Aplenty! It's time for a  . . twitch.tv/bencompetence
Negative,AGAIN @Borderlands WTF   
Negative,AGAIN @ Borderlands WTF
Negative,AGAIN @ Borderlands WTF
Negative,AGAIN @Borderlands<unk>
Negative,AGAIN 2 @Borderlands WTF
Negative,AGAIN AND WTF
Negative,This cricket has been the worst hivemind of fandom I have done this more times than I would love to be better if the Tarzan level in Kingdom Hearts is as bad as Borderlands.
Negative,This cricket was the worst hive of fandom I've done more times than I'd like to if the Tarzan level in Kingdom Hearts was as bad as Borderlands.
Negative,That cricket was the worst fennel fennel I've done more times than I'd like if Tarzan's level in the Kingdom of Hearts was as bad as Borderlands's.
Negative,This cricket has been the worst hivemind of fandom I have said this more times than I would love to be counting if the Tarzan level in Kingdom Hearts is as strong as Borderlands.
Negative,This cricket has been dubbed the worst single hivemind of game fandom I have certainly done this more times more than I or would love to be better if the Tarzan level in Kingdom Hearts is as bad there as Borderlands.
Negative,This cricket already been the worst hivemind for fandom who have done this more times than I would love to be better if the Tarzan level in Eight Hearts is as bad with mine.
Positive,Borderlands 3 is quite fun  
Positive,Borderlands 3 is really fun
Positive,Borderlands 3 is pretty funny
Positive,Borderlands 3 is quite different
Positive,Borderlands 3 is actually quite fun
Positive,Borderlands stuff is quite fun
Positive,Who's down for some @Borderlands on  
Positive,Who's on for some @ Borderlands
Positive,Who's at @ Borderlands
Positive,Who's down with some @Borderlands on
Positive,Who't s someone down for some @Borderlands on
Positive,Who's down for the @Borderlands on
Negative,@EpicGames @2K @Steam why add crossplay for @Borderlands 3 if you weren't gonna make it compatible for console? What a waste
Negative,"@ EpicGames @ 2K @ Steam, why add Crossplay for @ Borderlands 3 if you wouldn't make it compatible with the console? What a waste!"
Negative,@ EpicGames @ 2K @ Steam Why add a crossplay for @ Borderlands 3 if you're not going to make it compatible for the console?
Negative,@EpicGames on @2K why add crossplay for @Steam 3 if you weren't planning make everything compatible for console? What a waste
Negative,@EpicGames 4 @2K @Steam why not add crossplay for @Borderlands 3... if you weren't t really gonna make it compatible enough for console? What with a waste
Negative,made @EpicGames @2K why add crossplay for it 3 if you weren't gonna make it compatible for console? That was horrible
Positive,"Well I certainly had a good Valentine's day. I went to the store and bought 2 box's of honey buns, 2 liters of Dr pepper, and enjoyed playing borderlands 3 with the boys. In other words I spent it alone and enjoyed the hell out of it. Goodnight y'all."
Positive,"Well, I definitely had a nice Valentine's Day. I went to the store and bought 2 boxes of honey rolls, 2 liters of Dr. Pepper and enjoyed playing Borderlands 3 with the boys. In other words, I spent it alone and enjoyed the hell. Goodnight y'all."
Positive,"Well, of course I had a good Valentine's Day. I went to the store and bought 2 boxes of honey, 2 liters of Dr. Pepper and enjoyed playing border 3 with the boys. In other words, I spent it alone and enjoyed the hell out of it. Goodnight y'all."
Positive,"Well Tom certainly had a good Valentine's day. Actually went to the grocery yesterday bought 2 box's of honey buns, 2 bottles of Dr pepper, and enjoyed playing borderlands 3 with the boys. In other words I spent it alone and enjoyed the hell out of it. Nice y'all."
Positive,"Well I certainly had a good Valentine's day. Then I went to the store and bought 2 whole box'r s of honey filled buns, then 2 liters each of Dr pepper, and enjoyed playing borderlands game 3 with the beer boys. In other words not I spent it alone again and enjoyed the hell out of it. Goodnight y'all."
Positive,"Well I certainly did a good Valentine's day. I went to the shop and bought 2 box's of honey buns, 2 liters of Dr pepper, but enjoyed playing the golf with our boys. That my words exactly ran it alone and enjoyed the hell out of it. Goodnight y'all."
Positive,Fuck you Epic Store. Borderlands 3 for PC coming to Steam on March 13 disq.us/t/3mi5yed
Positive,Fuck you Epic Store. Borderlands 3 for PC comes to Steam disq.us / t / 3mi5yed on March 13
Positive,Fuck you Epic Store. Borderlands 3 for PC coming to Steam on March 13 disq.us / t / 3mi5yed
Positive,Fuck your Epic Store. Borderlands 3 for PC coming to Steam Stores March 13 disq.us/t/3mi5yed
Positive,2010 Fuck you this Epic Store. Borderlands 3 Made for PC and coming straight to Steam on March 13 disq. us / t / 3mi5yed
Positive,Fuck The Epic Store. Party 3 for free coming into Steam on March 13 disq.us/t/3mi5yed
Positive,"Started playing @Borderlands 2 dlcs again. These are the best dlcs ever made. The writing is perfect and the humor is on point, just like the main game."
Positive,"Started playing @ Borderlands 2 dlcs again. These are the best dlcs ever made. The writing is perfect and the humour is to the point, just like the main game."
Positive,"Re-started playing @ Borderlands 2. This is the best I've ever done. It's written perfectly, the humor is on point, just like in the main game."
Positive,"Started playing @Borderlands 2 dlcs again. These are his best dlcs ever made. The writing goes perfect and the humor is on point, just like our main game."
Positive,"Started playing @Borderlands to 2 dlcs again. These are the best dlcs fans ever made. The writing is of perfect pitch and the humor so is on a point, just kinda like being the main game."
Positive,"Started playing @Borderlands 2 dlcs again. These are the best dlcs ever ever. Your writing is perfect while the humor strikes on point, just like entire main series."
Positive,Its a combination of things. 1) I really love @tonyhawk (follow him) and wanted to be called Hawk. 2) Lilith from Borderlands. She's called the Firehawk but that's always taken so Blazehawk it was. 3) The 117 comes from my love for Halo. It's just to make sure it's not taken.
Positive,"It's a combination of things. 1) I really love @ tonyhawk (follow him) and wanted to be called Hawk. 2) Lilith from Borderlands. She's called Firehawk, but that's always been taken the way Blazehawk was. 3) The 117 is from my love of Halo. It's just to make sure it's not taken."
Positive,Its a combination of things. 1) I really love @ tonyhawk (follow him) and wanted to be called Hawk. 2) Lilith from Borderlands. She's called the Firehawk but that's always taken so Blazehawk it was. 3) The 127 comes from my love for Halo. It's just to make sure it's not taken.
Positive,Its a combination of things. 1) I really love @tonyhawk<unk> him) and wanted to be called Hawk. 2) Lilith the Borderlands. She's called the Firehawk but that's kinda taken so Blazehawk it was. 2) The 117 comes from this love for Hawk. It's just to make sure thats not taken.
Positive,Its a combination of things. 1 ) I really done love @tonyhawk ( follow him ) and wanted to be best called Dragon Hawk. C 2 ) Lilith from Borderlands. She's called the Firehawk... but that's always taken so Blazehawk it was. 3 ) The term 117 comes from my romantic love for the Halo. It's just to make good sure it's also not taken.
